"PK_ID","sID","Race","Ethnicity","Gender","free_reduced_lunch","limited_english_proficiency","treatment","academic_knowledge","parent_time_read","parent_edu","CTOPP_Blend","CTOPP_EL","letter_ID","picture_vocab","passage_comp","word_attack","KBIT_matrices","KBIT_riddles","KBIT_verbal"
10278,6,3,0,1,0,0,0,13,2,3,14,7,41,23,18,11,23,15,19
10279,6,3,0,0,1,0,0,11,3,3,3,3,13,17,7,3,11,10,11
10280,6,3,0,1,0,0,0,11,3,4,7,3,16,16,9,2,15,12,6
10281,6,3,0,0,1,0,0,12,3,1,3,3,6,17,6,1,16,15,22
10282,6,3,0,0,1,0,0,13,3,1,8,8,14,17,8,3,16,12,15
10284,6,3,0,1,1,0,0,12,3,4,5,6,14,17,6,2,15,3,14
10285,6,3,0,0,1,0,0,12,3,3,1,2,12,15,5,2,17,10,22
10286,6,3,0,1,1,0,0,9,3,3,0,0,3,9,4,0,16,8,6
10288,6,3,0,0,1,0,0,9,2,3,2,0,4,15,3,0,10,4,7
10289,6,3,0,0,1,0,0,12,3,2,8,2,13,17,7,3,21,15,15
10290,6,3,0,1,1,0,0,10,3,3,4,0,2,16,7,0,13,9,9
10292,6,3,0,0,1,0,0,11,2,4,4,6,14,16,7,2,15,12,15
10294,6,3,0,0,1,0,0,12,2,3,3,2,12,14,7,2,12,12,17
10295,6,5,0,1,0,0,0,15,3,2,0,1,6,17,4,2,15,16,15
10296,6,5,0,0,0,0,0,17,2,5,9,14,13,19,4,3,15,17,20
10297,6,5,0,0,1,0,0,12,3,2,8,6,12,18,6,2,18,15,16
10298,7,3,0,0,1,0,1,13,2,5,3,2,11,15,4,1,16,11,13
10299,7,3,0,0,1,0,1,11,3,4,4,0,11,15,8,2,14,4,11
10300,7,2,0,0,1,1,1,7,3,3,0,0,7,7,4,2,7,4,6
10302,7,3,0,1,0,0,1,14,3,5,8,5,17,16,5,3,10,14,13
10303,7,5,0,1,0,0,1,12,3,4,7,6,15,20,4,3,18,13,18
10304,7,6,0,1,1,0,1,13,1,3,0,3,4,15,5,1,11,11,16
10305,7,5,0,0,0,0,1,9,3,4,0,0,10,16,5,1,8,8,11
10306,7,3,0,0,1,0,1,13,3,3,4,2,12,17,4,3,12,13,15
10307,7,3,0,1,1,0,1,10,3,3,0,0,11,16,4,1,13,10,14
